txn_size,mpl,isolation_level,total_response_time,elapsed_time,num_transactions,avg_response,throughput,max_response,min_response,avg_transaction_delay
150,256,SERIALIZABLE,13730.73141169548,1800,4484,3.062161331778653,2.491111111111111,8.612261295318604,0.016660213470458984,26.276034462196716
150,256,REPEATABLE READ,321852.50795173645,1800,83902,3.8360528706316472,46.61222222222222,1090.848913192749,0.015685558319091797,3.3899187993379272e-06
150,256,READ COMMITTED,327858.1092722416,1800,80813,4.056997132543546,44.89611111111111,1422.8106062412262,0.015547752380371094,3.91591740385023e-06
150,128,SERIALIZABLE,6064.000280618668,1800,5839,1.0385340436065538,3.243888888888889,10.316667318344116,0.016291379928588867,20.204726773962864
150,128,REPEATABLE READ,195127.9702925682,1800,99246,1.966104128051188,55.13666666666666,613.8868045806885,0.015198469161987305,4.095324240377918e-06
150,128,READ COMMITTED,197257.56282615662,1800,96161,2.0513260347350446,53.422777777777775,718.1152505874634,0.016126632690429688,4.3355134668508e-06
150,64,SERIALIZABLE,2838.3959913253784,1800,6958,0.40793273804618835,3.8655555555555554,3.040762186050415,0.01709127426147461,6.892212120066021
150,64,REPEATABLE READ,88289.71353888512,1634.9320611953735,100123,0.8818125060064632,61.239853555012864,351.697142124176,0.012480020523071289,4.003345195407208e-06
150,64,READ COMMITTED,88922.77484703064,1662.3812050819397,100123,0.8881353419996468,60.2286645770065,345.4124205112457,0.011394739151000977,4.065088804143706e-06
150,32,SERIALIZABLE,1897.6474304199219,1800,12014,0.15795300735974047,6.674444444444444,11.998068809509277,0.014683008193969727,1.581029284827936
150,32,REPEATABLE READ,42381.54295730591,1545.946786403656,100123,0.42329477699735235,64.76484241279523,190.2723503112793,0.012674331665039062,3.81147780637043e-06
150,32,READ COMMITTED,42502.47177696228,1564.9948308467865,100123,0.42450257959671883,63.976569140375695,206.15629839897156,0.012337923049926758,3.731586639217454e-06
150,16,SERIALIZABLE,1512.8749461174011,1800,17620,0.08586123417238371,9.78888888888889,12.681190252304077,0.011703968048095703,0.5920695213806074
150,16,REPEATABLE READ,21169.94079017639,1572.2160549163818,100123,0.21143933751661848,63.68272330441571,150.6118302345276,0.011260509490966797,3.545981955683279e-06
150,16,READ COMMITTED,21120.38836503029,1628.7850766181946,100123,0.21094442201122907,61.470970871051236,205.1758759021759,0.011226177215576172,3.5979647926117283e-06
100,256,SERIALIZABLE,14143.704865932465,1800,8429,1.6779813579229403,4.682777777777778,11.001156330108643,0.011925220489501953,20.95215319882849
100,256,REPEATABLE READ,327130.3044369221,1800,130518,2.5063999175356813,72.51,1731.0543773174286,0.010424137115478516,3.7379443776087085e-06
100,256,READ COMMITTED,319468.68209576607,1800,128395,2.4881707394818027,71.33055555555555,1726.7282428741455,0.011047840118408203,3.507968360814421e-06
100,128,SERIALIZABLE,6849.972574710846,1800,9248,0.7406977265042005,5.137777777777778,7.260444164276123,0.009327173233032227,11.500963921313879
100,128,REPEATABLE READ,173191.58635377884,1800,135498,1.2781855551652337,75.27666666666667,475.2152609825134,0.011031627655029297,3.67836557431746e-06
100,128,READ COMMITTED,172891.8856420517,1800,132652,1.3033492570187535,73.69555555555556,709.263561964035,0.010066747665405273,3.6253042841936823e-06
100,64,SERIALIZABLE,2742.5364854335785,1800,11360,0.24142046526704036,6.311111111111111,3.072667121887207,0.013226509094238281,3.7637238899586904
100,64,REPEATABLE READ,87775.2746310234,1645.6511585712433,150184,0.5844515702806118,91.26113952995358,242.38455629348755,0.009136438369750977,3.904463010013868e-06
100,64,READ COMMITTED,88288.26145887375,1660.573506116867,150184,0.5878672925136749,90.44104307745738,340.2040054798126,0.009378910064697266,4.024443829351068e-06
100,32,SERIALIZABLE,1924.7578482627869,1800,18196,0.10577917389881221,10.108888888888888,8.131685495376587,0.008931875228881836,0.9602996826722192
100,32,REPEATABLE READ,42652.11959481239,1563.825012922287,150184,0.2839990917462073,96.03632040604998,141.86282420158386,0.009076118469238281,3.75503547049506e-06
100,32,READ COMMITTED,42550.3601565361,1576.258017539978,150184,0.28332152663756527,95.27881750881622,163.05893802642822,0.009050846099853516,3.7701819019605157e-06
100,16,SERIALIZABLE,1671.279236793518,1800,24372,0.06857374186745109,13.54,158.23406553268433,0.008532524108886719,0.41606015888474246
100,16,REPEATABLE READ,21588.471829652786,1633.712242603302,150184,0.14374681610326523,91.92806179911065,228.34602785110474,0.008422374725341797,3.4968920815246902e-06
100,16,READ COMMITTED,21846.599982738495,1655.2952802181244,150184,0.1454655621287121,90.72943165778234,227.92123460769653,0.00838923454284668,3.6133740291555836e-06
50,256,SERIALIZABLE,21774.66506743431,1800,22714,0.9586451117123497,12.61888888888889,6.593490362167358,0.007986307144165039,10.514227250832176
50,256,REPEATABLE READ,327134.06890797615,1800,230778,1.4175270992381257,128.21,1728.1710386276245,0.006934404373168945,3.857318132782333e-06
50,256,READ COMMITTED,320113.38088440895,1800,228016,1.40390753668343,126.67555555555556,1740.5195546150208,0.008301973342895508,3.4339580106932643e-06
50,128,SERIALIZABLE,6030.261640548706,1800,20500,0.29415910441701004,11.38888888888889,6.217306137084961,0.007984638214111328,3.815495218242087
50,128,REPEATABLE READ,192398.31333255768,1800,297924,0.6457966237448399,165.51333333333332,617.6241309642792,0.006951808929443359,4.316310672834531e-06
50,128,READ COMMITTED,194475.37653636932,1800,294273,0.6608672101632475,163.485,831.8019871711731,0.007069110870361328,4.383731399518866e-06
50,64,SERIALIZABLE,2818.895823955536,1800,21974,0.12828323582213233,12.207777777777778,4.824928283691406,0.006147861480712891,0.8585937128842143
